model_id,model_type,params,split,threshold,roc_auc,accuracy,precision,recall
GB_paramset-1,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.5,0.897984601449,0.518796992481,0.0,0.0
GB_paramset-1,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.6,0.897984601449,0.518796992481,0.0,0.0
GB_paramset-1,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.7,0.897984601449,0.518796992481,0.0,0.0
GB_paramset-1,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.8,0.897984601449,0.518796992481,0.0,0.0
GB_paramset-1,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.9,0.897984601449,0.518796992481,0.0,0.0
GB_paramset-1,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.5,0.881227355072,0.518796992481,0.0,0.0
GB_paramset-1,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.6,0.881227355072,0.518796992481,0.0,0.0
GB_paramset-1,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.7,0.881227355072,0.518796992481,0.0,0.0
GB_paramset-1,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.8,0.881227355072,0.518796992481,0.0,0.0
GB_paramset-1,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.9,0.881227355072,0.518796992481,0.0,0.0
GB_paramset-1,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.5,0.882703081232,0.519083969466,0.0,0.0
GB_paramset-1,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.6,0.882703081232,0.519083969466,0.0,0.0
GB_paramset-1,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.7,0.882703081232,0.519083969466,0.0,0.0
GB_paramset-1,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.8,0.882703081232,0.519083969466,0.0,0.0
GB_paramset-1,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.9,0.882703081232,0.519083969466,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.5,0.919723731884,0.518796992481,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.6,0.919723731884,0.518796992481,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.7,0.919723731884,0.518796992481,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.8,0.919723731884,0.518796992481,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.9,0.919723731884,0.518796992481,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.5,0.881227355072,0.518796992481,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.6,0.881227355072,0.518796992481,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.7,0.881227355072,0.518796992481,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.8,0.881227355072,0.518796992481,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.9,0.881227355072,0.518796992481,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.5,0.884453781513,0.519083969466,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.6,0.884453781513,0.519083969466,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.7,0.884453781513,0.519083969466,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.8,0.884453781513,0.519083969466,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.9,0.884453781513,0.519083969466,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.5,0.912477355072,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.6,0.912477355072,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.7,0.912477355072,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.8,0.912477355072,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.9,0.912477355072,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.5,0.883491847826,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.6,0.883491847826,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.7,0.883491847826,0.518796992481,0.0,0.0
