model_id,model_type,params,split,feature,score,rank
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,displacement,0.679918051505,1
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,horsepower,0.0741989850948,2
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,make_volvo,0.0640149101604,3
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,full_pinto,0.0413231081188,4
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,full_100ls,0.0274742826952,5
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,full_280s,0.0230006045848,6
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,orig_3,0.0216838384132,7
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,cyli_3,0.0205018176751,8
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,full_vega,0.0163003397332,9
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",1,name_oldsmobile cutlass ciera (diesel),0.0153599355178,10
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",2,cyli_4,0.472958970933,1
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",2,cyli_6,0.123853341017,2
