model_id,model_type,params,split,threshold,roc_auc,accuracy,precision,recall
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'max_depth': 10}",1,0.5,0.902173913043,0.87969924812,0.852941176471,0.90625
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'max_depth': 10}",1,0.6,0.902173913043,0.887218045113,0.865671641791,0.90625
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'max_depth': 10}",1,0.7,0.902173913043,0.887218045113,0.865671641791,0.90625
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'max_depth': 10}",1,0.8,0.902173913043,0.887218045113,0.865671641791,0.90625
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'max_depth': 10}",1,0.9,0.902173913043,0.834586466165,0.862068965517,0.78125
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'max_depth': 10}",2,0.5,0.865942028986,0.872180451128,0.840579710145,0.90625
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'max_depth': 10}",2,0.6,0.865942028986,0.872180451128,0.840579710145,0.90625
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'max_depth': 10}",2,0.7,0.865942028986,0.872180451128,0.840579710145,0.90625
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'max_depth': 10}",2,0.8,0.865942028986,0.872180451128,0.840579710145,0.90625
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'max_depth': 10}",2,0.9,0.865942028986,0.872180451128,0.840579710145,0.90625
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'max_depth': 10}",3,0.5,0.88141923436,0.87786259542,0.873015873016,0.873015873016
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'max_depth': 10}",3,0.6,0.88141923436,0.87786259542,0.873015873016,0.873015873016
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'max_depth': 10}",3,0.7,0.88141923436,0.87786259542,0.873015873016,0.873015873016
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'max_depth': 10}",3,0.8,0.88141923436,0.87786259542,0.873015873016,0.873015873016
RF_paramset-1,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'max_depth': 10}",3,0.9,0.88141923436,0.549618320611,1.0,0.0634920634921
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",1,0.5,0.90964673913,0.864661654135,0.848484848485,0.875
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",1,0.6,0.90964673913,0.842105263158,0.852459016393,0.8125
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",1,0.7,0.90964673913,0.781954887218,0.830188679245,0.6875
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",1,0.8,0.90964673913,0.661654135338,0.851851851852,0.359375
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",1,0.9,0.90964673913,0.556390977444,0.857142857143,0.09375
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",2,0.5,0.913836050725,0.894736842105,0.847222222222,0.953125
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",2,0.6,0.913836050725,0.87969924812,0.842857142857,0.921875
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",2,0.7,0.913836050725,0.84962406015,0.84375,0.84375
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",2,0.8,0.913836050725,0.804511278195,0.88,0.6875
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",2,0.9,0.913836050725,0.669172932331,0.857142857143,0.375
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",3,0.5,0.921568627451,0.87786259542,0.850746268657,0.904761904762
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",3,0.6,0.921568627451,0.847328244275,0.890909090909,0.777777777778
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",3,0.7,0.921568627451,0.709923664122,0.878787878788,0.460317460317
